code,distillery,region,status,founded,closed,wikipedia,wikidata,confidence,last_verified
G15,Loch Lomond (Rhosdhu),Highland,,,,,,,2026-08-16
G16,Glasgow Distillery,Lowland,,,,,,,2026-08-16
G17,Starlaw,Lowland,,,,,,,2026-08-16
GN1,Glasgow Distillery Company,Scotland,,,,,,,2026-08-16
GN2,Strathearn Distillers,Scotland,,,,,,,2026-08-16
GN3,The Borders Distillery,Scotland,,,,,,,2026-08-16
GN4,Boatyard Distillery,Northern Ireland,,,,,,,2026-08-16
GN5,Glenrinnes,Scotland,,,,,,,2026-08-16
GN6,Holyrood Distillery,"Edinburgh, Scotland",,,,,,,2026-08-16
GN7,Cotswolds,England,,,,,,,2026-08-16
R1,Monymusk,Jamaica,,,,,,,2026-08-16
R2,Demerara Distillers (El Dorado),Guyana,,,,,,,2026-08-16
R3,West Indies Rum,Barbados,,,,,Q118065928,unconfirmed,2026-08-16
R4,Trinidad Distillers (Angostura),Trinidad,,,,,,,2026-08-16
R5,Long Pond,Jamaica,,,,,,,2026-08-16
R6,Foursquare,Barbados,,,,,,,2026-08-16
R7,Hampden,Jamaica,,,,,,,2026-08-16
R8,Compañía Licorera de Nicaragua (Flor de Caña),Nicaragua,,,,,,,2026-08-16
R9,Varela Hermanos (Ron Abuelo),Panama,,,,,,,2026-08-16
R10,Trinidad Distiller’s,Trinidad,,,,,,,2026-08-16
R11,Worthy Park,Jamaica,,,,,,,2026-08-16
R12,Travellers,Belize,,,,,,,2026-08-16
R13,Caroni,Trinidad,,,,,,,2026-08-16
R14,Uitvlugt,Guyana,,,,,,,2026-08-16
RW1,FEW Spirits,"Illinois, USA",,,,,,,2026-08-16
RW2,Finger Lakes Distilling,"New York, USA",,,,,,,2026-08-16
RW3,New York Distilling Co.,"New York, USA",,,,,,,2026-08-16
RW4,Peerless Distillery,"Kentucky, USA",,,,,,,2026-08-16
RW5,MGP,"Indiana, USA",,,,,Q6504799,unconfirmed,2026-08-16
RW6,Kyrö Distillery,Finland,,,,,,,2026-08-16
RW7,Journeyman Distillery,"Michigan, USA",,,,,,,2026-08-16
RW8,Catoctin Creek Distilling Co.,"Virginia, USA",,,,,,,2026-08-16
RW9,Wilderness Trail Distillery,"Kentucky, USA",,,,,,,2026-08-16
